hero_id,name,roles,5_pick,5_win,6_pick,6_win,7_pick,7_win,8_pick,8_win,5_winrate,6_winrate,7_winrate,8_winrate,mean_winrate
111,npc_dota_hero_oracle,Support-Nuker-Disabler-Escape,8728,4271,4545,2271,2265,1163,790,399,0.48934463794683775,0.4996699669966997,0.5134657836644592,0.5050632911392405,0.5018859199368093
112,npc_dota_hero_winter_wyvern,Support-Disabler-Nuker,16847,8421,8331,4159,4168,2115,1699,878,0.4998516056271146,0.4992197815388309,0.5074376199616123,0.516774573278399,0.5058208951014893
113,npc_dota_hero_arc_warden,Carry-Escape-Nuker,7028,3677,3351,1758,1353,712,324,162,0.5231929425156516,0.5246195165622203,0.5262379896526238,0.5,0.5185126121826239
114,npc_dota_hero_monkey_king,Carry-Escape-Disabler-Initiator,38874,18772,18977,9273,8874,4279,3381,1683,0.48289345063538613,0.488644148179375,0.4821951769213432,0.49778172138420584,0.48787862428007756
119,npc_dota_hero_dark_willow,Support-Nuker-Disabler-Escape,19227,9756,9247,4741,4506,2303,1847,948,0.5074114526447183,0.5127068238347572,0.5110963160230804,0.513264753654575,0.5111198365392827
120,npc_dota_hero_pangolier,Carry-Nuker-Disabler-Durable-Escape-Initiator,14398,6831,8030,3900,4030,1925,1741,857,0.4744408945686901,0.48567870485678705,0.47766749379652607,0.4922458357265939,0.4825082322371493
121,npc_dota_hero_grimstroke,Support-Nuker-Disabler-Escape,21237,10568,9941,4856,4436,2096,1432,676,0.4976220746809813,0.4884820440599537,0.47249774571686204,0.4720670391061452,0.48266722589098554
123,npc_dota_hero_hoodwink,Support-Nuker-Escape-Disabler,21616,10670,9934,4888,4188,2056,1268,594,0.4936158401184308,0.49204751358969195,0.4909264565425024,0.46845425867507884,0.486261017231426
126,npc_dota_hero_void_spirit,Carry-Escape-Nuker-Disabler,35473,17978,17884,9046,8548,4289,3442,1692,0.5068079948129564,0.5058152538581973,0.5017547964436125,0.4915746658919233,0.5014881777516723
128,npc_dota_hero_snapfire,Support-Nuker-Disabler-Escape,22952,10940,10783,5055,5206,2462,2201,1014,0.4766469153014988,0.468793471204674,0.47291586630810606,0.4606996819627442,0.46976398369425576
129,npc_dota_hero_mars,Carry-Initiator-Disabler-Durable,29206,13393,14825,6889,7175,3419,3018,1420,0.4585701568170924,0.46468802698145023,0.4765156794425087,0.47051027170311466,0.4675710337360415
135,npc_dota_hero_dawnbreaker,Carry-Durable,22865,11350,11142,5367,5144,2529,1959,940,0.4963918652963044,0.48169089929994613,0.4916407465007776,0.47983665135273096,0.4873900406124398
136,npc_dota_hero_marci,Support-Carry-Initiator-Disabler-Escape,51963,26447,24705,12638,11485,5941,4167,2240,0.5089582972499663,0.5115563651082776,0.5172834131475839,0.5375569954403647,0.5188387677365481
